Edad,Sexo,1. Siento que mi padre raras veces me...,Clasificación I1,2. Cuando tengo mala suerte...,Clasificación I2,3. Siempre anhelé...,Clasificación I3,4. Si yo estuviera a cargo...,Clasificación I4,5. El futuro me parece...,Clasificación I5,6. Las personas que tienen una posición superior a mí...,Clasificación I6,"7. Sé que es tonto, pero tengo miedo de...",Clasificación I7,8. Creo que un verdadero amigo...,Clsificación I8,9. Cuando era niño(a)...,Clasificación I9,10. Mi idea de mujer (hombre) perfecta(o)...,Clasificación I10,11. Cuando veo a un hombre y a una mujer juntos...,Clasificación I11,"12. Comparando las demás familias, la mía...",Clasificación I12,13. En las acciones que implican trabajo me llevo mejor con...,Clasificación I13,14. Mi madre...,Clasificación I14,15. Haría cualquier cosa por olvidar la vez que...,Clasificación I15,16. Si mi padre tan solo...,Clasificación I16,17. Siento que tengo habilidades para...,Clasificación I17,18. Sería perfectamente feliz si...,Clasificación I18,19. Si la gente trabajara para mí...,Clasificación I19,20. Yo espero...,Clasificación 20,"21. En el colegio, mis profesores...",Clasificación I21,22. La mayoría de mis amistades no saben que tengo miedo de...,Clasificación I22,23. No me gusta...,Clasificación I23,24. Antes...,Clasificación I24,25. Pienso que la mayoría de los muchachos(as)...,Clasificación I25,26. Yo creo que la vida matrimonial...,Clasificación I26,27. Mi familia me trata como...,Clasificación I27,28. Aquellos con los que trabajo...,Clasificación I28,29. Mi madre y yo...,Clasificación I29,30. Mi más grande error fue...,Clasificación I30,31. Desearía que mi padre...,Clasificación I31,32. Mi mayor debilidad...,Clasificación I32,33. Mi ambición secreta en la vida...,Clasificación I33,34. La gente que trabaja para mí...,Clasificación I34,35. Algún día yo...,Clasificación I35,36. Cuando veo al jefe venir...,Clasificación I36,37. Quisiera perder el miedo de...,Clasificación I37,38. La gente que más me agrada...,Clasificación I38,39. Si fuera joven otra vez...,Clasificación I39,40. Creo que la mayoría de las mujeres (hombres)...,Clasificación I40,41. Si tuviera relaciones sexuales...,Clasificación I41,42. La mayoría de las familias que conozco...,Clasificación I42,43. Me gusta trabajar con la gente que...,Clasificación I43,44. Creo que la mayoría de las madres...,Clasificación I44,45. Cuando era más joven me sentía culpable de...,Clasificación I45,46. Siento que mi padre es...,Clasificación I46,47. Cuando la suerte se vuelve en contra mía...,Clasificación I47,"48. Cuando doy órdenes, yo...",Clasificación I48,49. Lo que más deseo en la vida es...,Clasificación I49,50. Dentro de algún tiempo...,Clasificación I50,51. La gente a quien yo considero mis superiores...,Clasificación I51,52. Mis temores en ocasiones me obligan a...,Clasificación I52,"53. Cuando no estoy, mis amigos...",Clasificación I53,54. Mi más vívido recuerdo de la infancia...,Clasificación I54,55. Lo que menos me gusta de los hombres (mujeres)...,Clasificación I55,56. Mi vida sexual...,Clasificación I56,57. Cuando era niño(a)...,Clasificación I57,"58. La gente que trabaja conmigo, generalmente...",Clasificación I58,"59. Me agrada mi madre, pero...",Clasificación I59,60. La peor cosa que he hecho...,Clasificación I60
21,Masculino.,Juzga,Positivo,Nada sale bien,Ambiguo,Tener un hermano,Negativo,Ayudaría a los demás ,Positivo,Prometedor,Positivo,Me generan angustia,Negativo,No ser suficiente para mis seres queridos,Negativo,Será sincero y leal,Positivo,Tenía menos responsabilidades,Positivo,"Es aquella que es sincera, fiel e incondicional",Positivo,Analizo su relación ,Ambiguo,Es unida,Positivo,Mis amigos,Positivo,Es única ,Positivo,Me engañaron,Negativo,Hubiera estado más presente,Negativo,Ayudar a los demás ,Positivo,Cumpliera mis sueños,Positivo,Estaría tranquila,Positivo,Ayudar a mis seres queridos,Positivo,Pensaban que era buen estudiante ,Positivo,Fracasar,Positivo,El pescado,Neutro,Era más inmaduro,Positivo,Son despreocupados,Ambiguo,Es cultural,Positivo,Una persona especial,Positivo,Me consideran un apoyo,Positivo,Nos llevamos bien,Positivo,Confiar en aquella persona,Negativo,Estuviera más tranquilo ,Positivo,Es mi apariencia física ,Negativo,Es ser millonario,Positivo,Se siente bien,Positivo,Tendré lo que he anhelado,Positivo,Lo saludo,Positivo,Fracasar,Positivo,Tiene mi apoyo,Positivo,Pensaría más antes de actuar,Positivo,Tienen prejuicios ,Negativo,Me protegería ,Positivo,Se aman y apoyan,Positivo,Es cooperativa y responsable ,Positivo,Darían todo por sus hijos,Positivo,No ayudar a mis padres,Positivo,Trabajador y responsable,Positivo,Intento volverla a mi favor,Positivo,Procuro que sean lo mejor posible,Positivo,Hacer felices a los que me rodean,Positivo,Me graduaré,Positivo,Son personas admirables,Positivo,Retroceder,Negativo,Viven,Ambiguo,Es un hotel en girardot,Neutro,Es su mentalidad,Ambiguo,Es reservada y exclusiva,Positivo,Me enfermaba mucho,Negativo,Obtiene buenos resultados,Positivo,A veces es muy rigida con su pensamiento ,Negativo,Es haberme sentido menos por ser yo,Positivo
44,Masculino.,mira,Negativo,es solo un día,Positivo,camaro 69,Positivo,un automovil,Neutro,prometedor,Positivo,Director,Neutro,de que mi hijo se quede solo,Negativo,leal,Positivo,jugaba,Positivo,Es crespa y sonriente,Positivo,tienen un relación,Ambiguo,"es una familia normal, alegre",Positivo,las personas mas cercanas,Positivo,es espectacular,Positivo,que no pasé mi tesis,Negativo,fuera mas alto,Neutro,la creatividad,Positivo,supera lo que me pasa en las relaciones,Positivo,pobrecitos,Negativo,lo inesperado,Ambiguo,eran horríbles,Negativo,perder a mi familia,Positivo,ahuyama,Neutro,era joven,Neutro,son felices,Positivo,es un farsa,Negativo,debería tratarme,Ambiguo,son muy profesionales,Positivo,tenemos un relacion superficial,Negativo,la primera carrera y no aprender a leer,Ambiguo,no envejeciera ,Ambiguo,memoria,Neutro,es un camaro 69 acompañadao de varios carros,Positivo,estaria en dificultades,Negativo,estare en la playa sonriendo,Positivo,lo saludo?,Neutro,a decir lo que pienso,Positivo,es la que sonrie y es sinsera,Positivo,practicaria un deporte,Positivo,somos diversos e interesantes,Positivo,espectacular,Ambiguo,"son diversas, felices y tristes",Positivo,es apasionada,Positivo,"son lo mejor del mundo, ",Positivo,no tener un propósito u horizonte,Negativo,es muy buena persona,Positivo,me levantaré,Positivo,soy muy débil ,Negativo,que mi hijo y mi esposa sean felices,Positivo,tendre 50,Neutro,son sabias y apasionadas,Positivo,callar,Negativo,viven sus vidas,Ambiguo,es mi hermana,Positivo,la hipocresía y la mentira,Neutro,esta bien por un lado,Ambiguo,era intenso y callado,Negativo,"esta bien, creo",Positivo,es muy complicada,Negativo,mentir a los que quiero,Negativo
20,Femenino.,Comprende ,Negativo,Lloro y río ,Ambiguo,Felicidad y tranquilidad ,Negativo,De mi hermano sería muy feliz ,Negativo,Intrigante y tenebroso ,Negativo,Son increíbles ,Positivo,Que me convierta en alguien sin un motivo ,Negativo,Es alguien con quien puedes ser completamente tú,Positivo,Me daba miedo la oscuridad ,Negativo ,Es alguien que te hace sentir feliz y tranquilo ,Positivo,Me hace sentir feliz ,Positivo,Es increíble ,Positivo,Mis amigos ,Positivo,Es una mujer que no puedo definir,Ambiguo,Vi a mi papá borracho ,Negativo,Me quisiera conocer más ,Negativo,Imaginar cosas extraordinarias ,Positivo,Tuviera el control de todas las cosas en mi vida ,Negativo,Lo disfrutaría mucho ,Negativo,Dejar una huella en la vida de al menos una persona ,Positivo,Eran increíbles ,Positivo,Mi papá ,Negativo,No tener paz ,Positivo,Era más extrovertida ,Negativo,Son un poco apresurados por la vida ,Positivo,Es una decisión complicada ,Positivo,Una chica miedosa ,Negativo,Les gusta como lo hago ,Positivo,Somos muy unidas ,Positivo,No arriesgarme ,Ambiguo,Me conociera más ,Negativo,Mi corazón ,Positivo,Si lo digo no sería secreto ,Ambiguo,Dicen que soy una buena persona ,Positivo,Reiré mucho más que hoy ,Ambiguo,Me da un poco de risa ,Ambiguo,Ser yo ,Positivo,Es mi familia ,Positivo,Me arriesgaría más ,Positivo,Son intrigantes ,Ambiguo,Me daría un poco de vergüenza ,Negativo,Son diferentes a la mía ,Ambiguo,Le gusta hacer muchas preguntas ,Positivo,Son seres llenos de amor ,Positivo,No ser como los demás ,Negativo,Un poco distante ,Ambiguo,Me siento genial ,Negativo,Me siento raro ,Negativo,Ser feliz ,Ambiguo,Espero ser alguien admirable ,Positivo,Me enseña bastante ,Positivo,Quedarme quieta ,Negativo,Se preocupan por mi ,Positivo,Es corriendo por la calle jugando ,Positivo,Es que son apresurados ,Negativo,Inactiva ,Negativo,Era muy risueña ,Positivo,Le gusta ,Positivo,Es un poco mandona ,Ambiguo,Es no intentarlo ,Negativo
20,Femenino.,Regaña ,Ambiguo,Hablo con mi mamá ,Positivo,Viajar ,Positivo,Recompensaría a mis compañeros ,Positivo,Intrigante ,Positivo,Tienen poder ,Positivo,Estar sola ,Negativo,Debe ser leal ,Positivo,Quería ser artista ,Positivo,Es una mujer con aspiraciones,Positivo,Visualizo un equipo ,Positivo,Me apoya mucho ,Positivo,Los hombres ,Ambiguo,Es comprensiva ,Positivo,Le dije algo hiriente a un amigo  ,Negativo,"Descansara más, estaría mejor de salud ",Positivo,Socializar ,Positivo,Mis padres trabajaran menos ,Negativo,Valoraría su opinión ,Positivo,Ser exitosa y feliz ,Positivo,Reconocían mi esfuerzo ,Positivo,Estar sola ,Positivo,Que las personas mientan ,Negativo,Era más activa ,Negativo,Son reservados ,Positivo,Debe ser ,Neutro,Una persona mayor ,Negativo,Les gusta como lideró ,Positivo,Somos amigas ,Positivo,No haber ,Neutro,Confiara más en el ,Positivo,Es mi familia ,Positivo,Es ser reconocida ,Positivo,Les gusta trabajar conmigo ,Positivo,Retribuiré todo el esfuerzo a mis padres ,Positivo,Intento entablar una charla ,Positivo,Estar sola ,Positivo,Es sincera ,Positivo,Aprovecharía más mis actividades extra curriculares ,Positivo,Son envidiosas ,Negativo,Sería con protección y consentimiento ,Positivo,Son disfuncionales ,Negativo,Propone ideas nuevas ,Positivo,Son amorosas ,Positivo,No estar entre las mejores calificaciones ,Negativo,Resiliente ,Positivo,Hablo con mi familia ,Positivo,Soy asertiva ,Positivo,Hacer lo que me gusta ,Positivo,Espero viajar con mi familia ,Neutro,Los respeto ,Positivo,Alejarme ,Negativo,Preguntan por mi ,Positivo,"Es estar en el pueblo con mi familia compartiendo una buena cena, intercambiando regalos en un ambiente muy acogedor y agradable ",Positivo,Es su pensamiento lógico ,Ambiguo,Es responsable ,Positivo,Jugaba a ser actriz o presentadora ,Positivo,Queda contenta con los resultados ,Positivo,Ella no reconoce la excelente persona que es ,Positivo,Es hacer a alguien a un lado ,Negativo
23,Femenino.,Presta atención,Negativo,me enojo,Negativo,una casa propia,Positivo,"un capital grande, trabajaría para multiplicarlo.",Positivo,prometedor,Positivo,me quieren,Positivo,ser mamá,Ambiguo,núnca se ríe de ti ,Positivo,se burlaban de mis labios,Negativo,"Trabajador, paciente, amoroso, consentidor, respetuoso, responsable",Positivo,depende del contexto me parecen tiernos,Positivo,es egoista,Negativo,mis superiores,Positivo,es responsable,Positivo,mi papá le pegaba a mi mamá,Negativo,"no hubiese muerto, le daría una lección.",Negativo,estudiar,Positivo,tuviese un poco más de dinero. ,Positivo,sería bastante estricta.,Negativo,ser una excelente profesional ,Positivo,me querían.,Positivo,envejecer.,Positivo,consumir bebidas alcohólicas.,Positivo,era muy explosiva.,Positivo,no saben administrar el tiempo.,Negativo,es para mi. ,Positivo,la lider. ,Ambiguo,me respetan.,Positivo,hablamos.,Positivo,No haber administrado bien mis recursos una vez inicié a trabajar.,Positivo,no hubiese muerto,Ambiguo,los hombres,Ambiguo,ser psiquiatra y la dueña de un centro de psiquiatría ,Positivo,aun nadie trabaja para mi.,Neutro,seré psiquiatra.,Positivo,sigo haciendo mi trabajo,Positivo,envejecer,Ambiguo,son los organizados.,Positivo,aun soy joven.,Neutro,somos muy risueñas,Positivo,me protegería.,Positivo,son disfuncionales,Negativo,es organizada.,Positivo,son amorosas,Positivo,nada.,Neutro,un desconsiderado.,Negativo,me enojo,Ambiguo,pido el favor.,Positivo,ser una excelente profesional,Positivo,espero tener mi propio negocio,Positivo,me respetan.,Positivo,huir.,Negativo,la verdad no me interesa.,Negativo,es cuando ganaba los primeros puestos en mi colegio.,Positivo,que somos muy emocionales.,Negativo,No es muy activa,Ambiguo,quería tener una buena casa,Negativo,me cuenta sus asuntos. ,Positivo,es un poco criticona.,Negativo,haberme fijado en un vividor. ,Negativo
39,Femenino.,Me ayudó,Negativo,Me acuerdo que es mi culpa,Negativo,Tener un establo,Positivo,Sería todo diferente ,Neutro,Me preocupa demasiado ,Negativo, Son responsables ,Positivo,Está soledad que tengo ,Negativo,Está contigo en las buenas y malas,Positivo,Sufrí mucho,Negativo,Tener estabilidad económica ,Positivo,Me da envidia,Negativo,Es un desastre ,Negativo,Algunos compañeros ,Positivo,En cierto momento sentí q no era de su agrado ,Negativo,Abusaron de mi,Negativo, Fuera más paciente ,Negativo,Las artesanías ,Positivo,Unas de mis hijas no me odiara tanto ,Negativo,Sería agradable ,Positivo,Estar bien  física y emocionalmente ,Positivo,Fueron recuerdos agradables ,Positivo,Las agujas,Negativo,Que opinen sobre mi vida o la crianza de mis hijos,Positivo,Era feliz tenía estabilidad económica ,Negativo,No piensan para actuar ,Negativo,Es bonita,Positivo,Normal ,Neutro,Con los que trabajé fueron agradables conmigo,Positivo,Estamos en buenos términos ,Positivo,Dejar a mi hija en cuidado de alguien mas,Negativo,No fuera tan malgeniado,Negativo,Mis hijos ,Positivo,No tengo ambición secreta ,Neutro,Nadie trabaja para mi,Neutro,Estaré bien ,Ambiguo,Cuando veía a mi ex jefe en ocasiones me daba nervios ,Negativo,Mi soledad,Positivo,Es la q no se mete y no opina de mi vida,Ambiguo,No cometería tantos errores que cometí ,Ambiguo,Somos posesivas,Negativo,Lo disfrutaría como si fuera la última vez ,Ambiguo,Son estables,Positivo,No hay que mandarlas,Ambiguo ,Somos sobreprotectoras,Negativo, Que mis padres me mandarán lejos,Ambiguo,Ermitaño,Neutro,Siento q nunca tengo suerte,Ambiguo,Deseo que hagan todo de inmediato ,Ambiguo,Volver a tener un hogar,Ambiguo,Tendré casa propia ,Positivo,Merecen respeto ,Positivo,No hablar con nadie,Negativo,Los pocos amigos que tengo se preocupan por mi,Positivo,Cuando un profesor me jalaba las orejas,Ambiguo,Que traten a las mujeres de locas cuando ellos la embarran,Negativo,Es inestable ,Negativo,Viví momentos muy desagradables,Negativo,Es chismosa,Negativo,Siento que a veces no encajamos,Negativo,Tomar decisiones precipitadas,Negativo
24,Femenino.,Trata mal,Positivo,Trato de tener calma,Positivo,Tener un buen amor,Negativo,Estaria bien ,Ambiguo,Incierto,Ambiguo,Las admiro ,Positivo,La vida,Negativo,Siempre esta para uno ,Positivo,Me encantaba jugar ,Positivo,"Que sea detallista, monogamico, que haga ejercicio ",Positivo,Que bien ,Positivo,Es muy linda,Positivo,No se,Neutro,Es muy buena con migo,Positivo,Conoci a mi ex,Negativo,No fuera alcohólico ,Negativo,Todo ,Ambiguo,Tuviera dinero,Positivo,Las trataria bien ,Positivo,Tener paz y plata ,Positivo,Fueron buenos,Positivo,Fracasar ,Positivo,La gente ,Negativo,Solia ser un persona muy curiosa,Ambiguo,Estan terribles,Negativo,Si creo ,Neutro,Una buena niña,Ambiguo,Bien ,Neutro,Somos muy cercanas ,Positivo,Haberme enmorado por segunda vez ,Negativo,Estubiera mejor económicamente ,Positivo,El temor ,Positivo,Ser rica ,Positivo,No tengo ,Neutro,Sere la mejor version de mi,Positivo,Nada ,Neutro,Enfrentar los miedos ,Positivo,Es la que es autentica ,Positivo,Estudiaria mas ,Positivo,Son unas duras,Positivo,Me siento incomoda,Negativo,Son unidas,Positivo,Hace bien su trabajo ,Positivo,Les toca duro,Neutro,Ser mujer,Negativo,Bueno ,Positivo,Me pongo a llorar,Ambiguo,Soy buena,Positivo,Tener plata para ayudar a mi familia ,Positivo,Tendre lo que simpre eh soñado ,Ambiguo,Bien ,Ambiguo,Estropear cuando me esta saliendo las cosas bien ,Negativo,Nada ,Neutro,Jugar en la casa de mi abuela,Positivo,Que no se bañen,Negativo,Es terrible ,Negativo,Era feliz ,Positivo,Es bien ,Positivo,Se enoja conmigo con facilidad ,Negativo,Es sabotear las cosas cuándo me estan saliendo bien,Negativo
18,Femenino.,Habla de forma altanera,Positivo,Siento frustración y estrés ,Negativo,Ser alguien destacada por sus habilidades ,Negativo,No sería tan agobiante ,Negativo,Incierto ,Ambiguo,Me generan inquietud ,Negativo,No sentirme amada,Negativo,Te dice las cosas con sinceridad y transparencia ,Positivo,Quería ser una mujer influyente ,Positivo,Responsable afectivamente y respetuoso ,Positivo,Me recuerda a mi pareja ,Negativo,Es un poco estresante ,Ambiguo,Alguien que sepa escuchar y entender ,Positivo,Se deja llevar por lo que dicen sus hermanas ,Negativo,Familiares se aprovecharon de mi inocencia y niñez,Negativo,Trabajara menos y se cuidara más ,Positivo,Designar actividades en un grupo,Positivo,Controlara mis emociones ,Positivo,Exigiría pero tendría en cuenta sus solicitudes ,Positivo,Ser alguien relevante para mí y mis papás ,Positivo,Solían llevarse bien conmigo ,Positivo,Ser rechazada ,Positivo,Repetir algo que he mencionado previamente y me genera dolor ,Negativo,Lloraba menos ,Negativo,"Están cayendo en ruinas mentales, solo piensan en modas impuestas y no valoran las relaciones interpersonales ",Positivo,"Requiere mucho compromiso, responsabilidad y creatividad ",Positivo,Alguien que no puede valer por sí sola,Negativo,Me estresan,Negativo,Somos parecidas ,Positivo,Permitir que mis emociones salieran con tanta libertad ,Negativo,Cuidara su salud y trabajara menos ,Positivo,Mis seres queridos ,Positivo,Ser alguien con muchos conocimientos y reducir considerablemente mi nivel de ignorancia ,Positivo,Suele sentir que soy exigente ,Negativo,Podré depender de mí ,Positivo,Sobre pienso ,Negativo,Experimentar cosas nuevas ,Positivo,Me habla con transparencia y no se creen superiores ,Positivo,Cuidaría mi cuerpo y mente,Positivo,Se sienten incomprendidas,Positivo,No permitiría acciones bruscas o que no me agraden,Positivo,Tienen problemas por dinero ,Neutro,Se esfuerza y exige en sus actividades ,Positivo,No sé informan sobre cómo tratar correctamente a sus hijos según la edad,Negativo,Ser un gasto considerable para mis papás ,Negativo,Trabajador ,Positivo,Trato de mantenerme positiva ,Positivo,Creo que estoy diciendo lo correcto ,Positivo,Estabilidad emocional ,Ambiguo,Voy a ser independiente y crecer personalmente ,Positivo,Tienen habilidades y características que me sirven de aprendizaje ,Positivo,Esconderme,Negativo,Se sienten relajados ,Negativo,Es cuando tenía tres años y fuimos a San Andrés con mis papás ,Positivo,Su falta de análisis y comprensión respecto a los sentimientos de una mujer y la cantidad de situaciones que pueden presentarse por una decisión ,Negativo,Es inestable ,Negativo,La vida era más tranquila ,Positivo,Se siente exigida,Ambiguo,Debe trabajar su confianza en mi ,Negativo,Hacerle bullying a una niña por su físico ,Negativo
24,Masculino.,ve jugar el deporte que amo. ,Negativo,Oro,Positivo,que fueran a verme jugar. ,Negativo,Haría lo que esté a mi alcance. ,Positivo,un presente vívido. ,Ambiguo,me enseñan todos los días. ,Positivo,las arañas y perder a la persona que amo. ,Negativo,Daría su vida por su amigo. ,Ambiguo,soñaba con ser jugador de baloncesto profesional. ,Positivo,Es que sea adventista del séptimo día y me ame. ,Positivo,me da alegria que aún se conserve la naturalidad. ,Negativo,es maravillosa. ,Positivo,"quien no sepa nada, pero esté dispuesta a aprender. ",Negativo,es única en seis cientos billones. ,Positivo,me frustré en un partido. ,Negativo ,me viera como lo intento. ,Negativo,Liderar. ,Positivo,viviera sin miedo. ,Negativo,Haría lo que fuera por explotar su potencial. ,Positivo,Ser mejor. ,Positivo,Sacaban lo mejor de mi. ,Positivo,No formar una familia. ,Positivo,Tener miedo. ,Positivo,Me arriesgaría más. ,Negativo,Deberían vivir actuando aún con miedo. ,Negativo,Es un reto maravilloso. ,Positivo,Debe. ,Ambiguo,Son agradables. ,Positivo,Aprendemos el uno del otro. ,Positivo,No actuar por miedo. ,Negativo,Fuera a mis partidos de pequeño. ,Negativo,Tener miedo. ,Positivo,Amar sin más  ,Neutro,Es mejor cada día. ,Positivo,Seré mejor. ,Positivo,Me da tranquilidad. ,Positivo,Atreverme. ,Positivo,Me hace ver mis errores. ,Positivo,Haría lo mismo. ,Ambiguo,Son personas queriendo superarse. ,Positivo,Las disfrutaría como si fueran la última o quizás la primera. ,Ambiguo,Son agradables. ,Positivo,Se esfuerza por mejorar. ,Positivo,Deberían aprender a confiar en Dios. ,Negativo,Lo que no puedo controlar. ,Ambiguo,Una gran persona. ,Positivo,Oro para que no dependa de ella sino de Dios. ,Positivo,Soy amable. ,Positivo,Ser feliz y predicar el evangelio. ,Positivo,Seré exitoso con la mujer que amo. ,Positivo,Solo son personas que fueron primiparos igual que yo. ,Ambiguo,Desistir a continuar. ,Negativo,Me ayudan a estar mejor. ,Positivo,Cuando me caí de una mesa. ,Neutro,Que se menosprecien. ,Negativo,Es perfecta. ,Negativo,Me encantaba salir a jugar. ,Positivo,Es muy paciente. ,Ambiguo,A veces habla muy fuerte. ,Ambiguo,Es creer que nadie me ve. ,Ambiguo
25,Femenino.,Me falla,Positivo,Trato de buscar la raíz del problema ,Positivo,Ser feliz,Negativo,Trataría a todos con respeto,Positivo,Angustiante ,Negativo,Pocas veces son empáticas,Negativo,El futuro y no cumplir todas mis metas ,Negativo,Siempre está ,Positivo,Me divertía ,Positivo,Alguien que me apoye y que si me estoy equivocando me corrija desde el amor ,Positivo,Siento extraño,Negativo,Es lo mejor que me ha pasado ,Positivo,Con mis compañeras ,Positivo,Es amorosa ,Positivo,Me hicieron sentir menos,Negativo,Se hubiera esforzado un poco más,Negativo,"La organización, la creatividad",Positivo,Pudiera ser 100% independiente,Negativo,Nunca los haría sentir menos,Positivo,Ser muy feliz,Positivo,Me subestimaban,Negativo,El futuro,Positivo,Las injusticias,Positivo,Era insegura,Positivo,Son poco luchadores,Ambiguo,Es complicada,Ambiguo,Un ser único,Positivo,Son fortalezas,Positivo,Somos muy Unidas,Positivo,Confiar en los demás,Negativo,Siempre estuviera conmigo ,Ambiguo,Mi gran empatía ,Positivo,Tener mucho dinero ,Positivo,Es amable ,Positivo,Seré muy feliz ,Ambiguo,Siento confianza ,Positivo,Que las cosas salgan mal ,Positivo,Es la sincera ,Positivo,Disfrutaría más ,Positivo,No cumplen su rol ,Negativo,Siempre me cuidaría,Positivo,Son unidas ,Positivo,Nunca se tiende ,Neutro,Son amorosas ,Positivo,No encajar ,Negativo,Amoroso ,Positivo,Me alegro ,Negativo,Me siento mal ,Negativo,Ser feliz ,Ambiguo,Quiero cumplir mis objetivos y ser muy feliz ,Positivo,Es narcisista ,Negativo,Huir de lugares ,Negativo,Siempre hablan cosas buenas de mi ,Positivo,Jugar con mis amigos ,Positivo,Su poca capacidad de resiliencia ,Negativo,Es sagrada ,Positivo,Era muy feliz ,Positivo,Es autoritaria ,Negativo,Quisiera que pensara más en ella ,Positivo,Dejar que me repitan muchas veces que ahí no es mi lugar ,Positivo
